Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.2639999995,2,-45673.6875000000,-63359.7265625000,-37598.5625000000,-14812.4560546875,-28472.8359375000,-52924.1445312500,-37116.5664062500,-66101.8359375000,,,
0.2679999995,2,-45682.8515625000,-63355.9296875000,-37593.8906250000,-14808.7226562500,-28466.1972656250,-52918.6914062500,-37112.0546875000,-66095.9140625000,,,
0.2719999994,2,-45750.0195312500,-63417.5742187500,-37656.5625000000,-14869.5419921875,-28529.7207031250,-52979.8671875000,-37174.5937500000,-66158.6796875000,,,
0.2759999994,2,-45706.3437500000,-63383.1757812500,-37623.6835937500,-14838.1152343750,-28496.8867187500,-52946.3398437500,-37141.8242187500,-66125.7812500000,,,
0.2799999996,2,-45697.4921875000,-63376.1796875000,-37615.7500000000,-14831.6337890625,-28488.9746093750,-52937.8710937500,-37134.1796875000,-66118.2265625000,,,
0.2839999995,2,-45687.1640625000,-63355.6132812500,-37593.1523437500,-14810.9804687500,-28466.5332031250,-52916.2539062500,-37112.0546875000,-66095.8046875000,,,
0.2879999995,2,-45683.2539062500,-63349.8945312500,-37588.1679687500,-14806.4433593750,-28462.0175781250,-52912.5234375000,-37106.8242187500,-66091.0234375000,,,
0.2919999994,2,-45692.5742187500,-63371.7734375000,-37611.9726562500,-14828.9062500000,-28485.5761718750,-52933.7578125000,-37130.0468750000,-66114.4921875000,,,
0.2959999994,2,-45703.6171875000,-63388.4726562500,-37628.7812500000,-14846.4082031250,-28502.6972656250,-52949.4257812500,-37147.1210937500,-66131.5703125000,,,
0.2999999996,2,-45759.4296875000,-63440.6875000000,-37679.3867187500,-14896.0732421875,-28553.1679687500,-52999.0468750000,-37197.0781250000,-66181.8359375000,,,
0.3039999995,2,-45705.3359375000,-63384.2460937500,-37623.2812500000,-14840.4179687500,-28495.7460937500,-52942.9453125000,-37141.3320312500,-66124.1953125000,,,
0.3079999995,2,-45703.4140625000,-63388.0703125000,-37627.5078125000,-14843.6367187500,-28501.6699218750,-52950.2539062500,-37145.6015625000,-66130.3359375000,,,
0.3119999995,2,-45698.7226562500,-63385.4531250000,-37624.1093750000,-14840.9091796875,-28500.7968750000,-52949.8710937500,-37142.4531250000,-66129.5312500000,,,
0.3159999994,2,-45689.4453125000,-63370.5000000000,-37607.9492187500,-14825.3525390625,-28483.9882812500,-52934.3164062500,-37126.1796875000,-66112.6093750000,,,
0.3199999994,2,-45688.8398437500,-63362.7460937500,-37599.2968750000,-14816.5908203125,-28475.3164062500,-52924.9492187500,-37117.5273437500,-66103.8515625000,,,
0.3239999996,2,-45698.7226562500,-63375.6406250000,-37614.2500000000,-14831.0751953125,-28491.8574218750,-52939.8593750000,-37132.0351562500,-66120.1875000000,,,
0.3279999995,2,-45769.6210937500,-63450.0078125000,-37688.6367187500,-14903.5166015625,-28568.7695312500,-53015.9453125000,-37205.9062500000,-66197.0781250000,,,
0.3319999995,2,-45717.0507812500,-63393.1875000000,-37630.6562500000,-14849.1796875000,-28509.7382812500,-52960.5351562500,-37148.8437500000,-66138.7421875000,,,
0.3359999994,2,-45696.9570312500,-63363.3710937500,-37600.1015625000,-14820.3017578125,-28478.7597656250,-52930.3593750000,-37118.6250000000,-66108.0781250000,,,
0.3399999994,2,-45816.8945312500,-63482.0820312500,-37719.2148437500,-14936.3740234375,-28600.5312500000,-53050.2773437500,-37236.7968750000,-66228.6171875000,,,
