Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.2639999995,2,-7421.0917968750,-7551.1791992188,-7708.6694335938,-7491.0083007813,-75393.7031250000,-115385.8671875000,-127537.3984375000,-141266.7968750000,,,
0.2679999995,2,-7418.0742187500,-7548.1835937500,-7705.8081054688,-7488.1918945313,-75390.8437500000,-115382.9843750000,-127534.6015625000,-141264.0937500000,,,
0.2719999994,2,-7417.5600585938,-7547.5805664063,-7705.2045898438,-7487.5883789063,-75390.2421875000,-115382.3593750000,-127533.9765625000,-141263.4375000000,,,
0.2759999994,2,-7421.4272460938,-7551.3579101563,-7708.9150390625,-7491.3208007813,-75393.8593750000,-115386.0234375000,-127537.5703125000,-141267.0156250000,,,
0.2799999996,2,-7421.1586914063,-7551.0673828125,-7708.7138671875,-7491.0083007813,-75393.5937500000,-115385.6718750000,-127537.2187500000,-141266.7343750000,,,
0.2839999995,2,-7418.3647460938,-7548.4072265625,-7706.1210937500,-7488.4824218750,-75391.0937500000,-115383.1015625000,-127534.7578125000,-141264.2656250000,,,
0.2879999995,2,-7417.4707031250,-7547.4907226563,-7705.1152343750,-7487.4316406250,-75390.1328125000,-115382.2031250000,-127533.7968750000,-141263.2500000000,,,
0.2919999994,2,-7420.3095703125,-7550.2846679688,-7707.8198242188,-7490.0917968750,-75392.7421875000,-115384.9296875000,-127536.3671875000,-141265.8750000000,,,
0.2959999994,2,-7419.1918945313,-7549.1225585938,-7706.6577148438,-7488.9291992188,-75391.5781250000,-115383.6328125000,-127535.0468750000,-141264.6093750000,,,
0.2999999996,2,-7415.7495117188,-7545.9711914063,-7703.5058593750,-7485.7778320313,-75388.5390625000,-115380.4843750000,-127532.0312500000,-141261.5625000000,,,
0.3039999995,2,-7417.3369140625,-7547.6474609375,-7705.0258789063,-7487.5434570313,-75390.1328125000,-115382.2265625000,-127533.7265625000,-141263.2031250000,,,
0.3079999995,2,-7418.3203125000,-7548.3178710938,-7705.6967773438,-7488.2587890625,-75390.7968750000,-115382.9218750000,-127534.3359375000,-141263.7812500000,,,
0.3119999995,2,-7419.0800781250,-7549.0332031250,-7706.5014648438,-7488.9965820313,-75391.4921875000,-115383.5468750000,-127534.9843750000,-141264.5625000000,,,
0.3159999994,2,-7417.7392578125,-7547.7592773438,-7705.4731445313,-7487.8789062500,-75390.4609375000,-115382.2968750000,-127533.9296875000,-141263.4843750000,,,
0.3199999994,2,-7417.4482421875,-7547.6025390625,-7705.2495117188,-7487.6777343750,-75390.2421875000,-115382.2031250000,-127533.6640625000,-141263.3281250000,,,
0.3239999996,2,-7420.1308593750,-7550.0615234375,-7707.5742187500,-7490.0244140625,-75392.5234375000,-115384.5312500000,-127536.0078125000,-141265.6875000000,,,
0.3279999995,2,-7420.1528320313,-7550.0834960938,-7707.6860351563,-7490.0917968750,-75392.4531250000,-115384.4843750000,-127535.9609375000,-141265.5156250000,,,
0.3319999995,2,-7418.5439453125,-7548.5859375000,-7706.2104492188,-7488.6386718750,-75391.1562500000,-115383.0078125000,-127534.5312500000,-141264.1093750000,,,
0.3359999994,2,-7416.2636718750,-7546.4179687500,-7703.9980468750,-7486.5375976563,-75389.0546875000,-115380.9296875000,-127532.3906250000,-141262.1718750000,,,
0.3399999994,2,-7418.1416015625,-7548.2285156250,-7705.6293945313,-7488.2363281250,-75390.6640625000,-115382.7421875000,-127534.0000000000,-141263.7500000000,,,
0.3439999996,2,-7418.3647460938,-7548.2734375000,-7705.7412109375,-7488.1469726563,-75390.6640625000,-115382.6718750000,-127533.9062500000,-141263.6406250000,,,
0.3479999995,2,-7416.1518554688,-7546.1499023438,-7703.7519531250,-7486.0908203125,-75388.5625000000,-115380.4609375000,-127531.8046875000,-141261.5468750000,,,
0.3519999995,2,-7415.8837890625,-7545.9931640625,-7703.6625976563,-7486.0683593750,-75388.6562500000,-115380.5312500000,-127531.8281250000,-141261.6093750000,,,
0.3559999994,2,-7417.4482421875,-7547.4462890625,-7705.0258789063,-7487.5659179688,-75390.0390625000,-115381.9609375000,-127533.1250000000,-141262.9375000000,,,
0.3599999994,2,-7418.4321289063,-7548.3847656250,-7705.9423828125,-7488.3256835938,-75390.7734375000,-115382.6484375000,-127533.8828125000,-141263.6406250000,,,
0.3639999994,2,-7416.8452148438,-7546.8872070313,-7704.5566406250,-7486.8061523438,-75389.2578125000,-115381.0859375000,-127532.3203125000,-141262.1093750000,,,
0.3679999996,2,-7416.1743164063,-7546.2836914063,-7703.9755859375,-7486.3139648438,-75388.8750000000,-115380.5703125000,-127531.9218750000,-141261.7031250000,,,
0.3719999995,2,-7417.0239257813,-7547.1108398438,-7704.6015625000,-7487.1186523438,-75389.6562500000,-115381.4921875000,-127532.7890625000,-141262.4843750000,,,
0.3759999995,2,-7416.8002929688,-7546.7758789063,-7704.1992187500,-7486.7163085938,-75389.1718750000,-115381.0390625000,-127532.2109375000,-141262.0156250000,,,
0.3799999994,2,-7416.0180664063,-7545.9487304688,-7703.4614257813,-7485.9121093750,-75388.3828125000,-115380.1250000000,-127531.3359375000,-141261.1718750000,,,
0.3839999994,3,-7418.7226562500,-7548.8544921875,-7706.5234375000,-7488.9291992188,-75391.4687500000,-115383.2578125000,-127534.3750000000,-141264.2968750000,,,
0.3879999993,3,-7416.0625000000,-7546.1723632813,-7703.6625976563,-7486.2695312500,-75388.5625000000,-115380.5703125000,-127531.6250000000,-141261.4531250000,,,
0.3919999993,3,-7417.3588867188,-7547.2675781250,-7704.7578125000,-7487.2753906250,-75389.5703125000,-115381.5781250000,-127532.6562500000,-141262.3906250000,,,
0.3959999993,3,-7420.5107421875,-7550.4189453125,-7708.0209960938,-7490.5161132813,-75392.8125000000,-115384.6640625000,-127535.7421875000,-141265.6093750000,,,
0.3999999992,3,-7417.4931640625,-7547.5581054688,-7705.2495117188,-7487.8789062500,-75390.1328125000,-115381.9609375000,-127533.1015625000,-141262.9687500000,,,
0.4039999992,3,-7417.0683593750,-7547.1108398438,-7704.8027343750,-7487.4316406250,-75389.6796875000,-115381.5078125000,-127532.7265625000,-141262.6250000000,,,
0.4079999994,3,-7417.2250976563,-7547.0883789063,-7704.6684570313,-7487.2084960938,-75389.4843750000,-115381.2421875000,-127532.5000000000,-141262.2968750000,,,
0.4119999993,3,-7416.5541992188,-7546.3735351563,-7703.9082031250,-7486.4257812500,-75388.7656250000,-115380.5078125000,-127531.6484375000,-141261.5000000000,,,
